1 1:-0.132616211549589 2:-0.10701138423387016 3:-0.05440705142937133 4:0.07561402271369302 5:-0.07692382799207435
1 1:-0.09369690329826631 2:-0.24714037923908933 3:0.05908569842443108 4:0.009788791851050355 5:-0.059088094830534565
1 1:-0.05567967430277268 2:-0.08212587220259945 3:-0.2515751430845071 4:0.13229718655395295 5:-0.045856139334088795
1 1:-0.1296046707342954 2:-0.1075951307131129 3:-0.07192094751337212 4:0.15573407558407829 5:-0.0558513369562338
1 1:-0.1590700326150036 2:-0.2858591597665495 3:0.2699599799844079 4:0.05346829001151214 5:0.04880143588421047
1 1:-0.1224395343902307 2:-0.21554075807821055 3:0.075300850560671 4:0.13362110104728403 5:-0.032833103807438084
1 1:-0.10289713278171705 2:-0.17239289298628238 3:-0.021639751723324583 4:0.16959287154247776 5:-0.04691359528168482
1 1:-0.1781134398035627 2:-0.09144938221070266 3:0.03394039152021032 4:0.222842445153698 5:-0.029579468109117817
1 1:-0.11594387067941553 2:-0.12961318339706807 3:-0.04069397019482384 4:0.20152599438175423 5:-0.02599332186414909
1 1:-0.15654653168537355 2:-0.0705380389664163 3:-0.06243820838943586 4:0.2347514612568447 5:-0.01805907174413432
1 1:-0.1861268243385707 2:-0.07899311053814957 3:0.0383018439979576 4:0.23419991755911487 5:-0.0005337829961572539
1 1:-0.2251638683956615 2:-0.00913191551459205 3:0.03688683084807057 4:0.27314032619725115 5:0.0074693095910880435
1 1:-0.17906551444118649 2:-0.10531131817772547 3:0.027848137328741605 4:0.22754531704876052 5:-0.01057347011499151
1 1:-0.24567114507378035 2:0.00032436470373239327 3:0.0737185874791405 4:0.27684111303774545 5:0.02609372596089432
1 1:-0.223950946971049 2:-0.05243830309252933 3:0.057976113305735336 4:0.2607966350517423 5:0.008656083794864978
1 1:-0.2269110701924327 2:0.07994142892044341 3:-0.0626175730116133 4:0.31697217612827866 5:0.015444858532621696
1 1:-0.2188019585108726 2:-0.050462971952079695 3:0.005263568854901705 4:0.2697358346976088 5:-0.0021251198422785923
1 1:-0.22782450619011607 2:-0.09368204784944803 3:0.08702147741597968 4:0.24761345041350083 5:0.012547529230181419
1 1:-0.24832726709480873 2:-0.09243543253642968 3:0.09929973430146263 4:0.25160518406853716 5:0.024859029700182115
1 1:-0.2578209458391303 2:-0.1661339550506939 3:0.20596979116678454 4:0.20978009840769246 5:0.05643807349080412
1 1:-0.268890987318354 2:-0.09189215938281417 3:0.10774611472858896 4:0.2547218572045273 5:0.02418451678862282
1 1:-0.23016390933367653 2:-0.21251309087021003 3:0.1605087029363244 4:0.18275637611971696 5:0.02819112002298623
1 1:-0.21494236808961126 2:-0.14418430642438732 3:0.01054564324493112 4:0.2045513172233707 5:0.011203770524008068
1 1:-0.1810546744866553 2:0.01202106233694501 3:-0.2206001264144579 4:0.25965350041663343 5:0.00689407998360409
1 1:-0.20137942303046025 2:-0.24951496824928326 3:0.14328177606919948 4:0.15974781083933243 5:0.03130663734081802
1 1:-0.20107217263646068 2:-0.19522349587077253 3:0.06502881877897183 4:0.1897853887156765 5:0.012965037934459397
1 1:-0.3120821360894218 2:-0.08069695101754541 3:0.20436230969125974 4:0.22336568553857167 5:0.09226160162613344
1 1:-0.2316807131314222 2:-0.23415997201785443 3:0.158279501874171 4:0.17205308063207386 5:0.03004904831592574
1 1:-0.20718811428473813 2:-0.10151516199992022 3:-0.05880924233276716 4:0.22460336478355783 5:0.00207726969623296
1 1:-0.23877403498869015 2:-0.09682736566261647 3:0.014699880201636425 4:0.2285179101166236 5:0.014657454033218808
1 1:-0.15896745359977005 2:-0.06340641294247915 3:-0.21033576767919282 4:0.2174034474496509 5:0.01396828938247374
1 1:-0.277240992643763 2:-0.20175386348918792 3:0.21411067368421077 4:0.16779076165430473 5:0.06559482068820822
1 1:-0.18979111112156438 2:-0.10246386761197003 3:-0.10874906655290173 4:0.21559833499828088 5:-0.010127224339503983
1 1:-0.2547584515100793 2:-0.14537463420149188 3:0.10791092985884554 4:0.19491431850194843 5:0.03081690501154341
1 1:-0.23538191430838545 2:-0.08295596804241565 3:-0.012632531650772725 4:0.2296588079602797 5:-0.002875317501265396
1 1:-0.21081421912426593 2:-0.3191509986313484 3:0.23532385196395142 4:0.08550505329937258 5:0.06157801933323049
1 1:-0.21905375585688716 2:-0.10580775430645824 3:-0.026580951897789442 4:0.19562120416516426 5:0.003151632680840911
1 1:-0.2585710896900854 2:-0.03526482867101237 3:-0.004928207664312845 4:0.22998731396390554 5:0.011479233930976223
1 1:-0.23190233276720612 2:-0.20087348013473758 3:0.10079487364937853 4:0.15596709922922125 5:0.00622722567180287
1 1:-0.2110683940990106 2:-0.13880076208899433 3:0.003253538848272109 4:0.1798647309966502 5:-0.01209177283009077
1 1:-0.20786507360688045 2:-0.021183882160581 3:-0.15986504580181643 4:0.1943273180052463 5:-0.021778713052471713
1 1:-0.16669844230109815 2:-0.1838056213958789 3:-0.048499895771782514 4:0.10528211882643869 5:-0.008314422156110043
1 1:-0.11749683341683934 2:-0.2693298844775849 3:0.001309099231184446 4:0.04565948804146148 5:0.003053371759926489
1 1:-0.1875872118641999 2:-0.17822499384287757 3:0.016487912383055157 4:0.11192488290755342 5:-0.008076833681145791
1 1:-0.18574517616695788 2:-0.08597098416972807 3:-0.12354499348897996 4:0.15834196426074684 5:-0.03949182697328771
1 1:-0.18731592293367902 2:-0.15282920780075818 3:-0.03981137241136335 4:0.13804371258871437 5:-0.03893405404275857
1 1:-0.19923334103860996 2:-0.22588908382299377 3:0.07644402239013366 4:0.10012714735810677 5:-0.008654270880071487
1 1:-0.17166083143410804 2:-0.2055349872159111 3:-0.022923635687246282 4:0.1107831556695395 5:-0.03896370519810769
1 1:-0.1667806687864045 2:-0.3061620034566905 3:0.1481361283980954 4:0.042850391153227724 5:0.01865120466703761
1 1:-0.18026384908756118 2:-0.03846841009534884 3:-0.17307302604408162 4:0.18067639275752567 5:-0.03739879088905036
1 1:-0.1883105378693582 2:-0.16689182511578604 3:-0.01199273616986667 4:0.11385668505773648 5:-0.0328651472364803
1 1:-0.15888325866266576 2:-0.1409671389142038 3:-0.07458700743667548 4:0.13172345690612913 5:-0.03815511985500253
1 1:-0.15105626058209587 2:-0.31456789503433535 3:0.1622371526463677 4:0.03746069736188928 5:0.006985933461969742
1 1:-0.16985332526557353 2:-0.1472033613606635 3:-0.01630618837251646 4:0.12479995709533442 5:-0.03554274051211095
1 1:-0.1477959600319382 2:-0.11163715578312446 3:-0.12289586415851006 4:0.15770273968164866 5:-0.05731368792751486
1 1:-0.1800774405212267 2:-0.26912392226596227 3:0.16557072714423424 4:0.08297775095214395 5:0.0115021940683017
1 1:-0.08496742476747089 2:-0.18989428749313894 3:-0.13955503479556786 4:0.11095436848205933 5:-0.029920971009443284
1 1:-0.1848772774042664 2:-0.14693357981824676 3:0.023220649461355623 4:0.16524410875885678 5:-0.02149117115541169
1 1:-0.13681987747042357 2:-0.13002509591481964 3:-0.10997738518060363 4:0.15364916418876112 5:-0.0299935690779198
1 1:-0.19662559244058475 2:-0.22595029457254218 3:0.12477230597065275 4:0.10496810172720553 5:0.011151858312843314
