1 1:-0.1326162115495899 2:-0.10701138423386855 3:-0.05440705142561897 4:0.07561402271886315 5:-0.07692382791817111 6:-0.02593031098485894 7:-0.016184571367747796 8:0.05001543692826791 9:0.016356426897417453 10:-0.032231455628683604
1 1:-0.0936969032982685 2:-0.24714037923908744 3:0.059085698427930114 4:0.009788791853889901 5:-0.059088094759176056 6:0.0331176047954202 7:-0.06915206790393298 8:-0.0071171490443098645 9:0.08146239449509908 10:-0.04320209322309493
1 1:-0.055679674302773395 2:-0.0821258722025998 3:-0.2515751430823817 4:0.13229718655219763 5:-0.04585613928825589 6:0.18433104125883273 7:-0.02108146558750974 8:0.09493123507387476 9:-0.015035932290721678 10:-0.0006423090573972477
1 1:-0.12960467073429638 2:-0.10759513071311176 3:-0.07192094751224887 4:0.1557340755878767 5:-0.05585133693822365 6:0.0051254866416103806 7:-0.026588341936882205 8:0.05455039757744502 9:0.0011682520227124776 10:-0.009008417321959356
1 1:-0.159070032615006 2:-0.28585915976654586 3:0.2699599799805669 4:0.05346829003957632 5:0.04880143576728528 6:0.02814904400108539 7:-0.05604101264998483 8:0.09987399023073203 9:0.025484900802309807 10:0.07046097002542491
1 1:-0.12243953439023256 2:-0.21554075807820916 3:0.07530085056134445 4:0.13362110104956432 5:-0.032833103798164766 6:0.05068009044255343 7:-0.053514150131302146 8:0.026009071583082133 9:0.059360339560908554 10:-0.029445730454010423
1 1:-0.1028971327817185 2:-0.17239289298628152 3:-0.021639751721977532 4:0.1695928715429573 5:-0.046913595254952443 6:0.10469923884791424 7:-0.04894767020381475 8:0.023679693438647068 9:0.07374095494644839 10:-0.04772288139314675
1 1:-0.17811343980356356 2:-0.09144938221070098 3:0.03394039151883992 4:0.22284244515755186 5:-0.029579468144115873 6:-0.05406235932666591 7:-0.01480202590831825 8:0.06840528452526305 9:0.004602731989195311 10:-0.03461477605499243
1 1:-0.11594387067941667 2:-0.12961318339706732 3:-0.04069397019562699 4:0.2015259943836532 5:-0.025993321888804835 6:0.08294057068721264 7:-0.03917876448036681 8:0.02899256277306752 9:0.06642710228165333 10:-0.032732871635785414
1 1:-0.15654653168537425 2:-0.07053803896641563 3:-0.062438208392734215 4:0.23475146126021512 5:-0.018059071824487606 6:0.013869987547586267 7:-0.020705515529621674 8:0.040703760547775025 9:0.03544075419817697 10:-0.025293829319201162
1 1:-0.18612682433857142 2:-0.07899311053814788 3:0.038301843994998405 4:0.23419991756727504 5:-0.0005337830700019655 6:-0.018022050216985393 7:-0.008068594299057444 8:0.04666856560673935 9:0.05069219580080013 10:-0.059248142802006167
1 1:-0.22516386839566185 2:-0.009131915514590121 3:0.036886830842638996 4:0.273140326209629 5:0.007469309458569119 6:-0.1306163965023318 7:-0.0013079352349363409 8:0.07324741585299566 9:0.036128622612995015 10:-0.03010700202859259
1 1:-0.17906551444118743 2:-0.10531131817772332 3:0.027848137325055915 4:0.22754531706913575 5:-0.010573470215764531 6:0.10147749015736088 7:0.001176129917184493 8:0.06564074606250987 9:0.07823003507802556 10:-0.04944091412204569
1 1:-0.24567114507378038 2:0.0003243647037347256 3:0.07371858747362173 4:0.27684111305120834 5:0.02609372582646451 6:-0.13209361711844253 7:0.008376024899203215 8:0.09948315429466076 9:0.029989833556679873 10:-0.014224395126512454
1 1:-0.2239509469710493 2:-0.05243830309252702 3:0.057976113301530866 4:0.26079663506537804 5:0.008656083687920427 6:-0.020677822126694202 7:-0.00023580702729364064 8:0.0711685316590997 9:0.05904265185284438 10:-0.03122142146370382
1 1:-0.22691107019243206 2:0.07994142892044495 3:-0.06261757301589463 4:0.3169721761359931 5:0.015444858431289224 6:-0.169755570457382 7:-0.026975640029936 8:0.058040268061347884 9:0.0749684327969723 10:0.0036517922038524593
1 1:-0.21880195851087308 2:-0.05046297195207775 3:0.005263568852691261 4:0.26973583470418855 5:-0.002125119897641796 6:-0.010610628617894968 7:-0.009373993464973192 8:0.06102564521737656 9:0.05294321439091097 10:-0.0363771538666109
1 1:-0.22782450619011677 2:-0.0936820478494452 3:0.08702147741454017 4:0.24761345042494115 5:0.012547529187769177 6:0.017470268367434726 7:0.0003835636066681254 8:0.07226557884149043 9:0.050500067678838356 10:-0.0541793752154489
1 1:-0.24832726709480965 2:-0.09243543253642686 3:0.09929973429914181 4:0.2516051840787304 5:0.024859029638106545 6:-0.01773436648281346 7:0.0043456947018684355 8:0.08823946310164357 9:0.027798393985726543 10:-0.021946673464565778
1 1:-0.2578209458391318 2:-0.16613395505069062 3:0.20596979116265118 4:0.20978009842257103 5:0.05643807337852977 6:0.06030956574362759 7:0.02449253311953624 8:0.13548317649955907 9:0.006281928364839292 10:0.0013049878912039098
1 1:-0.268890987318355 2:-0.09189215938281171 3:0.10774611472475927 4:0.2547218572085199 5:0.02418451669842741 6:-0.059397065317042884 7:0.009142581916992607 8:0.09685601533869032 9:0.008898178628410407 10:-0.0049378495911727265
1 1:-0.2301639093336784 2:-0.21251309087020734 3:0.16050870293444405 4:0.18275637612550275 5:0.02819111997546812 6:0.09696085246110328 7:-0.005821553820822584 8:0.0658152138415707 9:0.05863968772229635 10:-0.032350406156145026
1 1:-0.2149423680896126 2:-0.14418430642438618 3:0.010545643243456276 4:0.20455131721422443 5:0.011203770501891903 6:0.03314488015665595 7:-0.016044738478740442 8:0.03359835180090159 9:0.01389532644865609 10:-0.021637569249789077
1 1:-0.18105467448665527 2:0.012021062336944175 3:-0.2206001264160654 4:0.2596535003975283 5:0.006894079964001772 6:-0.00784292175283071 7:-0.01796456586743786 8:0.027525834149041774 9:0.010806310614121812 10:0.005991921004149048
1 1:-0.20137942303046244 2:-0.24951496824928093 3:0.14328177606790676 4:0.15974781084341164 5:0.03130663730994726 6:0.14487078538452897 7:-0.03446356911122904 8:0.027127872620573222 9:0.10196771885030878 10:-0.04718610466710067
1 1:-0.20107217263646243 2:-0.19522349587077062 3:0.06502881877843256 4:0.1897853887150504 5:0.01296503792298031 6:0.1346002382211941 7:-0.023371484406476833 8:0.028623753709297112 9:0.08072444297281205 10:-0.050720694267980954
1 1:-0.31208213608942265 2:-0.08069695101754205 3:0.20436230968455885 4:0.22336568555359246 5:0.09226160145938535 6:-0.09560167083252617 7:0.024216086221891704 8:0.17845783679270175 9:-0.04418474527221315 10:0.07082908265792164
