1 1:-0.13261621154958939 2:-0.10701138423386976 3:-0.0544070514256198 4:0.07561402271886591 5:-0.0769238279180996 6:-0.02593031098357681 7:-0.016184571336496003 8:0.050015437047220626 9:0.016356427082662744 10:-0.032231453192034645 11:0.014614086571788008 12:-0.0019016273693730854 13:-0.03543902423467899 14:-0.014125282174582388 15:0.014945842493218169 16:-0.027398756459275406 17:-0.008934713773462489 18:-0.006676311671890126 19:0.0012330397932964685 20:0.013487863575615742
1 1:-0.09369690329826715 2:-0.24714037923908785 3:0.059085698427922946 4:0.009788791853931198 5:-0.05908809475916567 6:0.03311760479789915 7:-0.06915206772957114 8:-0.007117148751256956 9:0.08146239618987483 10:-0.04320212584943397 11:0.027216897854873957 12:-0.0031909270720232984 13:-0.05059425905581079 14:-0.013939739403958915 15:0.009755797303273864 16:-0.026063162990569624 17:-0.005120765713971957 18:-0.006133409374276456 19:0.0034338061401421134 20:0.024595633971876408
1 1:-0.055679674302772895 2:-0.08212587220260205 3:-0.2515751430823807 4:0.13229718655222122 5:-0.04585613928814437 6:0.18433104126155336 7:-0.021081465549149962 8:0.09493123533892871 9:-0.015035932455332322 10:-0.0006422914071097894 11:-0.047467342345222395 12:-0.00908231689730115 13:-0.030262940517064393 14:0.014346902937842392 15:0.007010214705706556 16:-0.0010029525369771052 17:-0.020630743748706437 18:-0.010429671802015449 19:-0.0014384583170589712 20:0.005820144138317721
1 1:-0.1296046707342958 2:-0.10759513071311305 3:-0.0719209475122543 4:0.1557340755878863 5:-0.05585133693816748 6:0.005125486643209757 7:-0.02658834183962657 8:0.05455039774563836 9:0.001168253040614858 10:-0.009008434808104211 11:0.00795437923077355 12:0.022916693122698194 13:-0.019797110162819567 14:-0.016982902662119992 15:0.005983567402911637 16:-0.007745669253224796 17:-0.004347334070452975 18:-0.006208724822143142 19:-0.0003834697950030471 20:0.02551893291477139
1 1:-0.15907003261500455 2:-0.285859159766545 3:0.2699599799805755 4:0.053468290039515025 5:0.04880143576736019 6:0.028149043999568482 7:-0.0560410127969261 8:0.09987398999000828 9:0.02548489945211902 10:0.07046100372647683 11:-0.07192238672548737 12:0.02931882596155709 13:-0.034870966654088564 14:0.03034473760732784 15:0.053288210492684895 16:0.0069490255150963355 17:-0.005617834073464783 18:0.012793418098523116 19:-0.014243542662782514 20:0.032966851362431604
1 1:-0.12243953439023139 2:-0.21554075807820952 3:0.07530085056133949 4:0.1336211010495949 5:-0.032833103798143054 6:0.05068009044460368 7:-0.053514149995910185 8:0.02600907182345129 9:0.05936034088012173 10:-0.029445756140933026 11:0.013324921597468403 12:0.0135333618184177 13:-0.020037741323757123 14:-0.015902929939612204 15:0.0020622734594867966 16:-0.004605792581230157 17:-0.00240386667579438 18:-0.008705125154413067 19:-0.0016668279445968535 20:0.03158244251184778
1 1:-0.10289713278171755 2:-0.1723928929862823 3:-0.021639751721987177 4:0.16959287154301889 5:-0.0469135952549521 6:0.1046992388512243 7:-0.048947669970697744 8:0.023679693843452202 9:0.07374095716338128 10:-0.0477229253379665 11:0.021588592083432837 12:-0.0014386732524565016 13:-0.015963505810258447 14:-0.01223012532524862 15:0.0007886444147433645 16:-0.009989654844818941 17:-0.0011314967327282245 18:-0.007318224104498874 19:0.0002288241190074264 20:0.023843468854861882
1 1:-0.17811343980356306 2:-0.09144938221070187 3:0.03394039151883874 4:0.22284244515755341 5:-0.029579468144106936 6:-0.05406235932624508 7:-0.014802025871962745 8:0.06840528456833637 9:0.004602732411686093 10:-0.03461478412722303 11:0.013894708905034199 12:-0.001995337489514904 13:0.004604462676595717 14:-0.009976136169440365 15:0.0003423337359037687 16:-0.0019189385649165773 17:0.012443137989150446 18:0.0012557725746152144 19:-0.0062292953453914795 20:0.024593318135228612
1 1:-0.11594387067941593 2:-0.12961318339706837 3:-0.04069397019562935 4:0.20152599438364582 5:-0.025993321888761994 6:0.08294057068772782 7:-0.0391787644422404 8:0.028992562814898003 9:0.06642710278239987 10:-0.032732879769353684 11:0.012382406147036631 12:-0.007420926553994265 13:0.0037696718181827304 14:0.0015247112082132606 15:0.002211292684730929 16:0.009224340199937094 17:-0.007401257832190536 18:-0.01791248572020799 19:0.0019934606003841277 20:0.016757649309456467
1 1:-0.15654653168537386 2:-0.0705380389664169 3:-0.062438208392740814 4:0.23475146126025356 5:-0.01805907182446555 6:0.013869987549833986 7:-0.020705515377180107 8:0.0407037608204848 9:0.03544075565914026 10:-0.02529385811530016 11:0.027748992703980138 12:-0.00030774182030174693 13:0.0473294758569142 14:-0.0025087958299894134 15:-0.0018480418009388273 16:0.022278276777965896 17:-8.202902045099589e-05 18:-0.016986474403841965 19:0.010602085540188487 20:0.014539131961697139
